num_groups,num_clusters,num_returns,num_queries,re_rank,average_search_time,mean_average_accuracy
8,8,5,1000,euclidean,0.009,0.7854
8,9,5,1000,euclidean,0.009,0.7881
8,10,5,1000,euclidean,0.011,0.799
8,11,5,1000,euclidean,0.024,0.7994
8,12,5,1000,euclidean,0.018,0.8085
8,13,5,1000,euclidean,0.033,0.8163
8,14,5,1000,euclidean,0.021,0.8217
8,15,5,1000,euclidean,0.027,0.8133
8,16,5,1000,euclidean,0.026,0.815
8,17,5,1000,euclidean,0.024,0.8223
8,18,5,1000,euclidean,0.028,0.8235
8,19,5,1000,euclidean,0.022,0.8235
8,20,5,1000,euclidean,0.025,0.8273
8,21,5,1000,euclidean,0.021,0.2564
8,22,5,1000,euclidean,0.028,0.8255
8,23,5,1000,euclidean,0.024,0.8172
8,24,5,1000,euclidean,0.02,0.824
8,25,5,1000,euclidean,0.024,0.8235
8,26,5,1000,euclidean,0.02,0.8295
8,27,5,1000,euclidean,0.027,0.8367
8,28,5,1000,euclidean,0.025,0.8349
8,29,5,1000,euclidean,0.023,0.8346
8,30,5,1000,euclidean,0.026,0.8353
8,31,5,1000,euclidean,0.023,0.833
8,32,5,1000,euclidean,0.026,0.8372
16,8,5,1000,euclidean,0.031,0.8319
16,9,5,1000,euclidean,0.036,0.834
16,10,5,1000,euclidean,0.035,0.8415
16,11,5,1000,euclidean,0.026,0.8317
16,12,5,1000,euclidean,0.034,0.8412
16,13,5,1000,euclidean,0.034,0.8458
16,14,5,1000,euclidean,0.031,0.8357
16,15,5,1000,euclidean,0.031,0.8413
16,16,5,1000,euclidean,0.029,0.8361
16,17,5,1000,euclidean,0.037,0.8455
16,18,5,1000,euclidean,0.034,0.8412
16,19,5,1000,euclidean,0.027,0.8486
16,20,5,1000,euclidean,0.033,0.8439
16,21,5,1000,euclidean,0.032,0.8482
16,22,5,1000,euclidean,0.034,0.8449
16,23,5,1000,euclidean,0.029,0.8525
16,24,5,1000,euclidean,0.035,0.8469
16,25,5,1000,euclidean,0.03,0.8474
16,26,5,1000,euclidean,0.033,0.852
16,27,5,1000,euclidean,0.034,0.8491
16,28,5,1000,euclidean,0.033,0.8527
16,29,5,1000,euclidean,0.041,0.8474
16,30,5,1000,euclidean,0.024,0.8563
16,31,5,1000,euclidean,0.034,0.8571
16,32,5,1000,euclidean,0.028,0.8513
32,8,5,1000,euclidean,0.05,0.8535
32,9,5,1000,euclidean,0.053,0.8567
32,10,5,1000,euclidean,0.049,0.8571
32,11,5,1000,euclidean,0.045,0.86
32,12,5,1000,euclidean,0.045,0.8597
32,13,5,1000,euclidean,0.048,0.8613
32,14,5,1000,euclidean,0.055,0.8618
32,15,5,1000,euclidean,0.049,0.8613
32,16,5,1000,euclidean,0.042,0.8594
32,17,5,1000,euclidean,0.047,0.8648
32,18,5,1000,euclidean,0.043,0.8601
32,19,5,1000,euclidean,0.047,0.8648
32,20,5,1000,euclidean,0.05,0.8633
32,21,5,1000,euclidean,0.043,0.8662
32,22,5,1000,euclidean,0.055,0.867
32,23,5,1000,euclidean,0.041,0.8658
32,24,5,1000,euclidean,0.043,0.8647
32,25,5,1000,euclidean,0.049,0.8639
32,26,5,1000,euclidean,0.046,0.8669
32,27,5,1000,euclidean,0.049,0.8634
32,28,5,1000,euclidean,0.04,0.8705
32,29,5,1000,euclidean,0.05,0.8636
32,30,5,1000,euclidean,0.044,0.8716
32,31,5,1000,euclidean,0.044,0.8661
32,32,5,1000,euclidean,0.052,0.869
64,8,5,1000,euclidean,0.075,0.8694
64,9,5,1000,euclidean,0.079,0.8675
64,10,5,1000,euclidean,0.075,0.8698
64,11,5,1000,euclidean,0.081,0.8718
64,12,5,1000,euclidean,0.077,0.8701
64,13,5,1000,euclidean,0.078,0.8698
64,14,5,1000,euclidean,0.077,0.8703
64,15,5,1000,euclidean,0.073,0.8682
64,16,5,1000,euclidean,0.081,0.8691
