num_groups,num_clusters,threshold,num_queries,re_rank,average_search_time,mean_average_accuracy,mean_recall
32,16,0.85,1000,euclidean,0.077,0.6883,0.6703
32,17,0.85,1000,euclidean,0.105,0.691,0.6722
32,18,0.85,1000,euclidean,0.057,0.6927,0.6688
32,19,0.85,1000,euclidean,0.081,0.6961,0.6763
32,20,0.85,1000,euclidean,0.072,0.6985,0.6756
32,21,0.85,1000,euclidean,0.086,0.6961,0.6692
32,22,0.85,1000,euclidean,0.077,0.6974,0.6665
32,23,0.85,1000,euclidean,0.086,0.7003,0.6696
32,24,0.85,1000,euclidean,0.064,0.7032,0.667
32,25,0.85,1000,euclidean,0.095,0.6983,0.6658
32,26,0.85,1000,euclidean,0.083,0.6978,0.6622
32,27,0.85,1000,euclidean,0.073,0.7012,0.6646
32,28,0.85,1000,euclidean,0.095,0.7071,0.6619
32,29,0.85,1000,euclidean,0.101,0.7023,0.6561
32,30,0.85,1000,euclidean,0.101,0.7049,0.6643
32,31,0.85,1000,euclidean,0.082,0.7077,0.6551
32,32,0.85,1000,euclidean,0.089,0.7059,0.6598
64,16,0.85,1000,euclidean,0.123,0.7046,0.6625
64,17,0.85,1000,euclidean,0.106,0.7068,0.6633
64,18,0.85,1000,euclidean,0.15,0.7094,0.653
64,19,0.85,1000,euclidean,0.231,0.7083,0.6484
64,20,0.85,1000,euclidean,0.185,0.711,0.6377
64,21,0.85,1000,euclidean,0.139,0.7165,0.6402
64,22,0.85,1000,euclidean,0.157,0.7148,0.642
64,23,0.85,1000,euclidean,0.15,0.7187,0.6387
64,24,0.85,1000,euclidean,0.097,0.7224,0.6339
64,25,0.85,1000,euclidean,0.097,0.7263,0.6301
64,26,0.85,1000,euclidean,0.099,0.7243,0.6276
64,27,0.85,1000,euclidean,0.093,0.7257,0.6216
64,28,0.85,1000,euclidean,0.107,0.7263,0.6133
64,29,0.85,1000,euclidean,0.093,0.731,0.6163
64,30,0.85,1000,euclidean,0.129,0.7312,0.6069
64,31,0.85,1000,euclidean,0.157,0.7325,0.6055
64,32,0.85,1000,euclidean,0.139,0.7379,0.6029
32,16,0.9,1000,euclidean,0.064,0.6,0.6928
32,17,0.9,1000,euclidean,0.065,0.601,0.6936
32,18,0.9,1000,euclidean,0.067,0.6025,0.686
32,19,0.9,1000,euclidean,0.086,0.6062,0.6986
32,20,0.9,1000,euclidean,0.132,0.6085,0.6978
32,21,0.9,1000,euclidean,0.193,0.6051,0.6889
32,22,0.9,1000,euclidean,0.199,0.6088,0.6876
32,23,0.9,1000,euclidean,0.176,0.6124,0.6865
32,24,0.9,1000,euclidean,0.166,0.6098,0.6873
32,25,0.9,1000,euclidean,0.158,0.6096,0.6877
32,26,0.9,1000,euclidean,0.152,0.6075,0.6804
32,27,0.9,1000,euclidean,0.169,0.6131,0.6849
32,28,0.9,1000,euclidean,0.154,0.6163,0.6799
32,29,0.9,1000,euclidean,0.159,0.6156,0.6757
32,30,0.9,1000,euclidean,0.119,0.6162,0.6826
32,31,0.9,1000,euclidean,0.115,0.6174,0.675
32,32,0.9,1000,euclidean,0.121,0.6226,0.6771
64,16,0.9,1000,euclidean,0.24,0.6181,0.6807
64,17,0.9,1000,euclidean,0.14,0.6211,0.6793
64,18,0.9,1000,euclidean,0.179,0.6254,0.6699
64,19,0.9,1000,euclidean,0.221,0.6227,0.664
64,20,0.9,1000,euclidean,0.254,0.6262,0.6546
64,21,0.9,1000,euclidean,0.222,0.6307,0.6568
64,22,0.9,1000,euclidean,0.234,0.628,0.6571
64,23,0.9,1000,euclidean,0.195,0.6343,0.6517
64,24,0.9,1000,euclidean,0.225,0.639,0.6497
64,25,0.9,1000,euclidean,0.213,0.6411,0.6436
64,26,0.9,1000,euclidean,0.195,0.6425,0.6447
64,27,0.9,1000,euclidean,0.108,0.6434,0.6349
64,28,0.9,1000,euclidean,0.1,0.6376,0.6274
64,29,0.9,1000,euclidean,0.098,0.6423,0.6285
64,30,0.9,1000,euclidean,0.104,0.6459,0.6196
64,31,0.9,1000,euclidean,0.103,0.6473,0.6175
64,32,0.9,1000,euclidean,0.078,0.6515,0.6142
