num_groups,num_clusters,threshold,num_queries,re_rank,average_search_time,mean_average_accuracy,mean_recall
32,16,0.95,1000,euclidean,0.039,0.5149,0.711
32,17,0.95,1000,euclidean,0.032,0.5174,0.7158
32,18,0.95,1000,euclidean,0.067,0.5215,0.707
32,19,0.95,1000,euclidean,0.107,0.5195,0.7189
32,20,0.95,1000,euclidean,0.062,0.5243,0.7151
32,21,0.95,1000,euclidean,0.082,0.5237,0.7029
32,22,0.95,1000,euclidean,0.07,0.5235,0.7111
32,23,0.95,1000,euclidean,0.086,0.5275,0.7094
32,24,0.95,1000,euclidean,0.076,0.5302,0.7119
32,25,0.95,1000,euclidean,0.093,0.5273,0.7035
32,26,0.95,1000,euclidean,0.061,0.5296,0.7037
32,27,0.95,1000,euclidean,0.096,0.5326,0.7073
32,28,0.95,1000,euclidean,0.082,0.5344,0.7065
32,29,0.95,1000,euclidean,0.073,0.5319,0.7008
32,30,0.95,1000,euclidean,0.093,0.5394,0.7018
32,31,0.95,1000,euclidean,0.102,0.5338,0.6952
32,32,0.95,1000,euclidean,0.099,0.5374,0.693
64,16,0.95,1000,euclidean,0.15,0.5392,0.7077
64,17,0.95,1000,euclidean,0.133,0.5461,0.6985
64,18,0.95,1000,euclidean,0.109,0.5456,0.6924
64,19,0.95,1000,euclidean,0.139,0.5453,0.6887
64,20,0.95,1000,euclidean,0.194,0.5484,0.6724
64,21,0.95,1000,euclidean,0.224,0.556,0.6752
64,22,0.95,1000,euclidean,0.149,0.556,0.6727
64,23,0.95,1000,euclidean,0.153,0.5596,0.6685
64,24,0.95,1000,euclidean,0.154,0.5622,0.6647
64,25,0.95,1000,euclidean,0.107,0.5621,0.6551
64,26,0.95,1000,euclidean,0.094,0.5647,0.6571
64,27,0.95,1000,euclidean,0.103,0.5666,0.6467
64,28,0.95,1000,euclidean,0.093,0.5646,0.6501
64,29,0.95,1000,euclidean,0.107,0.5664,0.6382
64,30,0.95,1000,euclidean,0.097,0.5703,0.6352
64,31,0.95,1000,euclidean,0.126,0.5734,0.6362
64,32,0.95,1000,euclidean,0.16,0.5716,0.6282
32,16,1,1000,euclidean,0.059,0.4511,0.7171
32,17,1,1000,euclidean,0.103,0.4519,0.7215
32,18,1,1000,euclidean,0.061,0.4574,0.7121
32,19,1,1000,euclidean,0.073,0.4564,0.7247
32,20,1,1000,euclidean,0.067,0.4587,0.7209
32,21,1,1000,euclidean,0.099,0.4581,0.7065
32,22,1,1000,euclidean,0.168,0.4593,0.7164
32,23,1,1000,euclidean,0.181,0.463,0.7152
32,24,1,1000,euclidean,0.212,0.4638,0.7185
32,25,1,1000,euclidean,0.156,0.4608,0.71
32,26,1,1000,euclidean,0.171,0.4631,0.7093
32,27,1,1000,euclidean,0.162,0.4661,0.7129
32,28,1,1000,euclidean,0.159,0.4701,0.7108
32,29,1,1000,euclidean,0.173,0.465,0.7051
32,30,1,1000,euclidean,0.149,0.4703,0.7059
32,31,1,1000,euclidean,0.139,0.4659,0.6995
32,32,1,1000,euclidean,0.121,0.4695,0.698
64,16,1,1000,euclidean,0.2,0.4722,0.7111
64,17,1,1000,euclidean,0.243,0.4776,0.7026
64,18,1,1000,euclidean,0.145,0.4766,0.6963
64,19,1,1000,euclidean,0.184,0.4803,0.6928
64,20,1,1000,euclidean,0.23,0.4796,0.6762
64,21,1,1000,euclidean,0.253,0.4875,0.6814
64,22,1,1000,euclidean,0.214,0.4868,0.6765
64,23,1,1000,euclidean,0.237,0.4899,0.6719
64,24,1,1000,euclidean,0.203,0.4911,0.6682
64,25,1,1000,euclidean,0.231,0.4908,0.6582
64,26,1,1000,euclidean,0.215,0.4933,0.6605
64,27,1,1000,euclidean,0.179,0.4949,0.6511
64,28,1,1000,euclidean,0.114,0.4925,0.6533
64,29,1,1000,euclidean,0.102,0.494,0.6416
64,30,1,1000,euclidean,0.098,0.4979,0.6387
64,31,1,1000,euclidean,0.1,0.4998,0.6399
64,32,1,1000,euclidean,0.102,0.4951,0.6315
